title,overview,original_language,release_date,vote_average,popularity,vote_count
Flight,"Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation.",en,2012-11-02,6.845,5.6315,6148
The Party at Kitty and Stud's,"Kitty and Stud are lovers. They enjoy a robust sex-life, which includes fellatio and light S&M, specifically, Stud belt-whipping Kitty. Three women come over for a party and Stud services them, one after the other.",en,1970-02-10,3.8,6.4218,72
La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",fr,1995-05-31,8.087,5.8314,4230
Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",en,2005-04-01,7.463,6.3665,8353
Scream 3,"While Sidney Prescott and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",en,2000-02-04,5.99,5.7578,3729
Blonde,"From her volatile childhood as Norma Jeane, through her rise to stardom and romantic entanglements, this reimagined fictional portrait of Hollywood legend Marilyn Monroe blurs the lines of fact and fiction to explore the widening split between her public and private selves.",en,2022-09-16,5.946,6.2536,1405
Stepmom,"Jackie is a divorced mother of two. Isabel is the career minded girlfriend of Jackie’s ex-husband Luke, forced into the role of unwelcome stepmother to their children. But when Jackie discovers she is ill, both women realise they must put aside their differences to find a common ground and celebrate life to the fullest, while they have the chance.",en,1998-12-25,7.149,5.9614,1464
Barbarian,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",en,2022-09-08,6.828,6.7105,2705
Afraid,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,en,2024-08-28,5.941,5.0531,401
The Secret World of Arrietty,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",ja,2010-07-16,7.663,5.9134,2938
Detective Conan: Black Iron Submarine,"Many engineers from around the world gather at the Interpol marine facility ""Pacific Buoy"" on Hachijo-jima, in the sea south of central Tokyo Prefecture coast, to witness the launch of a new system that connects all law enforcement camera systems around the world and enables facial recognition worldwide. Conan, along with his friends Kogoro, Ran, Agasa, Haibara, and the Detective Boys, also heads to the island with an invitation from Sonoko to see the whales. He receives a message from Subaru, who says that a Europol agent has been murdered in Germany by Gin. Perturbed, Conan sneaks onto the police ship led by Kuroda, which is bringing them to the island to protect the completion work, and tours the new facility, just in time for the Black Organization to kidnap a female engineer, seeking a piece of important data in her USB drive. A terrifying howl of screws is heard from the ocean as an unknown person approaches Haibara.",ja,2023-04-14,7.0,5.6124,119
Pleasure Spa,A spa that caters to its clients' erotic desires faces a shutdown when an undercover cop arrives to investigate its steamy business.,en,2013-02-01,5.3,5.2584,9
Let's Be Cops,"Best pals Ryan and Justin are stalled in their respective careers -- a fact that is painfully driven home when they go to a college reunion. Dressed as police in the mistaken belief that they were to attend a costume party, Ryan and Justin find that the uniforms earn them much respect and attention. Although Justin is uncomfortable with the idea, Ryan decides to continue with the charade, putting them both in increasingly dangerous situations. When these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",en,2014-08-13,6.456,6.1507,2826
Frogman,"An amateur filmmaker, struggling to turn his passion into a career, returns with friends to Loveland, Ohio, the location of his first, notorious sighting of the Frogman, determined to obtain irrefutable proof that the cryptid legend exists.",en,2024-09-26,4.846,4.5584,13
Tinker Bell and the Legend of the NeverBeast,"An ancient myth of a massive creature sparks the curiosity of Tinker Bell and her good friend Fawn, an animal fairy who’s not afraid to break the rules to help an animal in need. But this creature is not welcome in Pixie Hollow — and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. Fawn must convince her fairy friends to risk everything to rescue the NeverBeast.",en,2014-12-12,7.347,6.4177,1134
Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",en,2004-06-25,7.294,6.4577,15542
Number 24,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",no,2024-10-30,7.1,6.2658,295
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",en,2007-08-10,7.284,6.0336,4174
Leggings Mania,"Jeong-hee was living with a man due to a de facto marriage. One day, her daughter, Dam-hoi, returned from her study abroad. Dam-hoi always wears leggings. The soon-to-be stepdad, Byeong-min, who is usually a fan of leggings, pays attention to her daughter's clothes. Jeong-hee noticed it, so she also started wearing leggings to distract her young prospective husband.",ko,2023-07-13,7.35,5.5644,10
Horizon: An American Saga - Chapter 1,"In 1859, families discover the lure of the Old West as they settle in territories from Wyoming to Kansas. Meanwhile, a gruff cowboy soon finds himself on the run with a prostitute and a young boy after killing a fellow gunman.",en,2024-06-26,6.886,5.2377,520
The Ring,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,en,2002-10-18,6.7,6.7381,6317
The Girl with the Dragon Tattoo,"Disgraced journalist Mikael Blomkvist investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",en,2011-12-14,7.374,6.0879,7178
The School for Good and Evil,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,en,2022-10-19,7.05,6.6225,1300
The Da Vinci Code,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",en,2006-05-17,6.727,7.0915,9570
Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",en,2012-09-27,6.361,6.5495,6778
Twin Peaks: Fire Walk with Me,"In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.",en,1992-06-03,7.4,6.0413,2039
Transporter 2,"Professional driver, and former Special Forces officer, Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policy director and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",en,2005-08-03,6.31,5.1828,3710
Old School,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,en,2003-02-21,6.602,6.3086,1928
Men in Black II,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",en,2002-07-03,6.377,6.3149,10145
Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.",en,2024-02-01,6.558,6.1521,565
The Hills Have Eyes,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",en,2006-03-10,6.442,6.2003,3113
Quantum of Solace,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",en,2008-10-29,6.333,6.0612,8046
Crank,"Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.",en,2006-08-31,6.648,5.7572,3926
The Ritual,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",en,2025-05-27,5.896,5.3802,24
Paprika,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it and recover it before damage is done: Paprika.",ja,2006-10-01,7.8,5.8859,2593
Robin Hood: Prince of Thieves,"Nobleman crusader Robin of Locksley breaks out of a Jerusalem prison with the help of Moorish fellow prisoner Azeem and travels back home to England. But upon arrival he discovers his dead father in the ruins of his family estate, killed by the vicious sheriff of Nottingham, Robin and Azeem join forces with outlaws Little John and Will Scarlett to save the kingdom from the sheriff's villainy.",en,1991-06-14,6.9,5.5378,3364
Blue Lagoon: The Awakening,Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,en,2012-06-16,6.4,6.1331,1441
Liar Liar,"Forced by his son's birthday wish, fast-talking attorney and habitual liar Fletcher Reede must tell the truth for the next 24 hours.",en,1997-03-21,6.695,5.3989,5856
John Q,"John Quincy Archibald is a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because HMO insurance will not cover it. Therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list.",en,2002-02-15,7.1,5.8033,2460
Pokémon Detective Pikachu,"In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",en,2019-05-03,6.921,6.5974,7016
JUJUTSU KAISEN: Hidden Inventory / Premature Death - The Movie,"Pursued by a religious cult and other curse users, former friends Satoru Gojo and Suguru Geto are the only sorcerers capable of carrying the difficult task of protecting Riko Amanai, a student designated to be sacrificed as the Star Plasma Vessel, until she can fulfill her duty. A compilation of the five-episode ""Hidden Inventory / Premature Death"" series arc.",ja,2025-05-30,10.0,6.9323,1
"Men, Women & Children","Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.",en,2014-10-17,6.441,6.0693,898
Atonement,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",en,2007-02-27,7.643,6.2904,4396
Opus,"A young writer is invited to the remote compound of a legendary pop star who mysteriously disappeared thirty years ago. Surrounded by the star's cult of sycophants and intoxicated journalists, she finds herself in the middle of his twisted plan.",en,2025-03-13,5.6,6.0688,94
Wild Child,"Sixteen-year-old Poppy has everything her unlimited credit cards can buy, and a spoiled attitude to match. After a final thoughtless prank, her exasperated father ships her off to boarding school in England. There, Poppy meets her match in a stern headmistress and a class full of girls who will not tolerate her selfishness.",en,2008-08-15,6.7,5.5137,1858
Rocky IV,"After Apollo Creed is killed by Ivan Drago in a match, Rocky Balboa becomes depressed and becomes determined to get revenge.",en,1985-11-21,7.082,5.6056,4545
A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",en,1992-12-11,7.544,7.6302,3807
American Wedding,"With high school a distant memory, Jim and Michelle are getting married — and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle — prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",en,2003-08-01,6.21,6.0046,4159
Lightyear,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,en,2022-06-15,6.926,5.4692,3559
Playboy Playmate Workout,"Lynda Wiesmeier, Playmate of the Month July 1982, along with other Playmates",en,1983-01-01,0.0,7.3469,0
Zombieland: Double Tap,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",en,2019-10-09,6.918,6.5224,5898
Con Air,"Newly-paroled former US Army ranger Cameron Poe is headed back to his wife, but must fly home aboard a prison transport flight dubbed ""Jailbird"" taking the “worst of the worst” prisoners, a group described as “pure predators”, to a new super-prison. Poe faces impossible odds when the transport plane is skyjacked mid-flight by the most vicious criminals in the country led by the mastermind — genius serial killer Cyrus ""The Virus"" Grissom, and backed by black militant Diamond Dog and psychopath Billy Bedlam.",en,1997-06-05,6.751,5.6931,4360
Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",en,1995-06-14,6.9,6.3494,5807
Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",en,2024-06-21,6.874,4.9814,293
The Wailing,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,ko,2016-05-12,7.372,6.3915,1831
Cry of Silence,"Cry of Silence, is about a double kidnapping, and assault that is presented as an Action Packed ,Dramatic, Thriller that will keep you riveted.",en,2024-05-01,5.875,6.1211,16
The Fire And The Moth,Violence and mayhem ensue after a smuggler escapes with a rare Ife bronze head into a gritty western Nigerian town.,en,2025-05-16,5.0,5.4952,2
Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",en,2001-10-05,7.505,6.1699,6148
"Robotia, la película",,es,2024-06-07,7.643,6.0623,14
Vixen!,"Vixen lives in a Canadian mountain resort with her naive pilot husband. While he's away flying in tourists, she gets it on with practically everybody including a husband and his wife, and even her biker brother. She is openly racist, and she makes it clear that she won't do the wild thing with her brother's biker friend, who is black.",en,1968-10-15,5.4,5.0571,94
Mantra Warrior: The Legend of The Eight Moons,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.",th,2023-10-11,7.4,6.1055,79
The BFG,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",en,2016-06-01,6.282,6.0492,3447
Valkyrie,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",en,2008-12-25,6.948,6.042,3823
Elite Squad,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",pt,2007-10-12,8.056,7.7999,2510
10 Cloverfield Lane,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",en,2016-03-10,6.992,5.5722,8168
Sa Bang-ji,"Sa Bangji was an intersex person who according to historical records lived during Korea’s Joseon Dynasty. Taken in by a kindly benefactor, Sa Bangji lives in a monastery that is one day visited by a young widow, Lee So-sa, who is in mourning following the death of her husband. The pair’s meeting seems predestined, with the erotic attraction between Sa Bangji and Lee So-sa soon evolving into something far more transcendent – and dangerous.  While aspects of the film – its stylised depiction of female actors and sex – identify it as a product of its time, Sa Bangji is undeniably a milestone in screen representations of intersex people, a film that refuses to shy away from the horrendous stigmatization faced by its titular character.",ko,1988-10-29,6.0,5.5553,3
Dark Shadows,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,en,2012-05-09,6.092,6.0318,7314
Hercules,"When a new enemy threatens the innocent, Hercules must lead his fearless team of warriors in a battle against overwhelming odds.",en,2014-07-23,5.8,5.5715,4149
Alice in Terrorland,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",en,2023-12-26,5.963,5.3415,188
A Walk Among the Tombstones,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,en,2014-09-18,6.33,5.6943,2856
Captain Underpants: The First Epic Movie,"Based on the bestselling book series, this outrageous comedy tells the story of George and Harold,  two overly imaginative pranksters who hypnotize their principal into thinking he’s an enthusiastic, yet dimwitted, superhero named Captain Underpants.",en,2017-06-01,6.242,5.3002,1254
The Rape,"Yahagi Michiko is accosted and raped walking home one evening. From there she maneuvers the logistics of the police, hospital, and criminal justice system while balancing her home life including romantic relationships.",ja,1982-05-15,4.1,6.0486,7
Primal Fear,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room.",en,1996-03-06,7.655,5.4742,3536
The Emoji Movie,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",en,2017-07-23,5.427,6.1457,3175
For a Few Dollars More,"Two bounty hunters both pursue the brutal and sadistic bandit, El Indio, who has a large bounty on his head.",it,1965-12-18,8.0,5.271,4144
Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,hi,2023-12-01,6.3,5.9663,145
Time Cut,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?",en,2024-10-29,5.636,5.6554,491
Paddington 2,"Paddington, now happily settled with the Browns, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy, but it is stolen.",en,2017-11-09,7.469,5.6522,2510
Jeepers Creepers,"On a desolate country highway, two homeward-bound teens are nearly run off the road by a maniac in a beat-up truck, and later spot him shoving what appears to be a body down a sewer pipe.",en,2001-07-01,6.471,6.2802,3094
3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",hi,2009-12-23,8.0,6.5325,2490
How the Grinch Stole Christmas,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,en,2000-11-17,6.771,6.1551,7797
CODA,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",en,2021-08-13,7.915,5.4428,2353
Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",en,2018-06-07,6.973,6.3945,8439
Into the Wild,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",en,2007-09-21,7.798,6.087,9712
Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",en,1995-04-26,7.12,5.9475,1888
Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,en,2009-10-15,7.4,6.7393,5333
Hero,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",zh,2002-07-22,7.5,5.6395,2321
Scott Pilgrim vs. the World,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",en,2010-08-12,7.5,6.1826,8093
American Reunion,"The characters we met a little more than a decade ago return to East Great Falls for their high school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.",en,2012-04-04,6.297,6.1905,4491
It Boy,"38-year-old Alice has everything to become the next editor-in-chief of Rebelle magazine except for her uptight image. But when the young and charming Balthazar, barely 20, crosses Alice's path, she realizes that he holds the key to her promotion.",fr,2013-03-06,6.446,5.4732,1485
Upgrade,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",en,2018-05-31,7.494,6.4602,4593
Man on Fire,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.",en,2004-04-23,7.457,5.9586,5277
Porco Rosso,"In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.",ja,1992-07-18,7.799,6.0723,3436
The Lost City,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",en,2022-03-24,6.487,5.8332,3724
The Man in the Iron Mask,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",en,1998-03-12,6.64,5.1212,3922
A Walk to Remember,"When the popular, restless Landon Carter is forced to participate in the school drama production, he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life, as well as a very big secret she must keep from Landon.",en,2002-01-25,7.756,6.0437,4109
Friday the 13th Part 2,"Five years after the horrible bloodbath at Camp Crystal Lake, new counselors roam the area, not sensing the ominous lurking presence that proves that the grisly legend is real.",en,1981-05-01,6.2,5.4542,1758
Twister,"An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.",en,1996-05-10,6.54,6.5478,3576
Come and See,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",ru,1985-10-17,8.2,5.6632,1611
Bungo Stray Dogs: Dead Apple,"A large scale catastrophe is occurring across the planet. Ability users are discovered after the appearance of a mysterious fog, apparently having committed suicide, so the Armed Detective Agency sets out to investigate these mysterious deaths. The case seems to involve an unknown ability user referred to as ""Collector,"" a man who could be the mastermind behind the incident. Trust and courage are put to the test in order to save the city of Yokohama and ability users across the world from the grip of Collector where the Armed Detective Agency forms an unlikely partnership with the dangerous Port Mafia.",ja,2018-03-03,8.125,5.2563,164
Obsessed,"A secret, passionate affair happens in the summer of 1969 between Colonel Jin Pyeong, trapped in a loveless marriage with Soo Jin, and Jong Ga Heun, the Chinese-Korean wife of Captain Kyung Woo Jin.",ko,2014-05-14,6.7,5.8026,73
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",en,2010-03-26,7.124,6.3826,11871
Toofan,"Born into tragedy, Galib rises from village outcast to criminal mastermind ""Toofan"" in 90s Bangladesh. As authorities close in, he takes desperate measures to maintain his empire, sparking a dangerous game of power and identity.",bn,2024-06-17,8.1,6.3236,6
Society of the Snow,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.",es,2023-12-15,7.996,6.2075,3179
In Secret,"In 1860s Paris, a young woman, Therese, is trapped in a loveless marriage to the sickly Camille by her domineering aunt, Madame Raquin. She spends her days behind the counter of a small shop and her evenings watching Madame play dominos with an eclectic group. After she meets her husband’s alluring friend, Laurent, she embarks on an illicit affair that leads to tragic consequences. Based on Emile Zola’s novel, Thérèse Raquin.",en,2013-09-17,6.132,6.004,235
Salaar: Part 1 - Ceasefire,"Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.",te,2023-12-21,6.7,5.8416,89
Pokémon: The First Movie,"Determined to prove its superiority, a bio-engineered Pokémon called Mewtwo lures Ash, Pikachu and others into a Pokemon match like none before.",ja,1998-07-18,6.9,6.0514,1483
The Naked Gun 2½: The Smell of Fear,"Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",en,1991-06-28,6.801,6.1368,2354
Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",en,2010-05-12,6.398,5.5197,4748
The Jack in the Box Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",en,2024-01-18,6.6,5.744,180
Addams Family Values,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",en,1993-11-19,6.958,5.9459,3086
The Fire Inside,"Claressa Shields, a high school junior from Flint, Michigan, aided by her tough-love coach, Jason Crutchfield, pushes past all limitations to become the first American woman to win an Olympic gold medal in boxing. But even at the pinnacle of success, Claressa has to reckon with the fact that not all dreams are created equal, and the real fight has only just begun.",en,2024-12-25,7.304,7.6763,46
Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",en,2016-08-03,5.919,5.8062,21436
Naughty,"Twenty-year-old Elya is a student and a future ecologist. One day, Matvey, the head of a construction company, comes to her university to talk about a development plan on the site of an old forest park. Elya does not hesitate to smash his project to smithereens. Matvey is intrigued by the girl's self-confidence and uses his usual methods of influence - he simply tries to ""buy"" her. But Elya doesn't need a sponsor. Then Matvey, surprised by her impregnability, offers Elya a bet: seven romantic days according to his rules. If after that the girl still decides to leave, he will refuse to build a skyscraper in the forest park. She agrees when Matvey really suspends the design work. Elya sees herself as something like the heroine of the film Pretty Woman, but Matvey turns out to be not at all the person she imagined.",ru,2023-02-14,6.2,5.191,82
